verb,voice,verb renamed,communicative,pure,discourse participation,state changing,private,emotive,cognitive,stative,telic,activity,evidential ,unclear classification,unclear usage,unclear sub-classification
crush,passive,be crushed,,,,,yes,yes,,,,,,,,
cry,active,cry,yes,yes,,,,,,,,,,,,
curse,active,curse,yes,yes,,,,,,,,,,,,
daydream,active,daydream,,,,,yes,,yes,,,yes,,,,
daze,passive,be dazed,,,,,yes,yes,,,,,,,,
debate,active,debate,yes,,yes,,,,,,,,,,,
deceive,passive,be deceived,,,,,yes,,,,,,yes,,,
decide,active,decide,,,,,yes,,yes,,yes,,,,,
declare,active,declare,yes,,yes,,,,,,,,,,,
decree,active,decree,yes,,yes,,,,,,,,,,,
deduce,active,deduce,,,,,yes,,yes,,yes,,,,,
delight,passive,be delighted,,,,,yes,yes,,,,,,,,
delude,passive,be deluded,,,,,yes,,yes,yes,,,,,,
demand,active,demand,yes,,yes,,,,,,,,,,,
demonstrate,active,demonstrate,yes,,,yes,,,,,,,,,,
demoralize,passive,be demoralized,,,,,yes,yes,,,,,,,,
denounce,active,denounce,yes,,yes,,,,,,,,,,,
deny,active,deny,yes,,yes,,,,,,,,,,,
depict,active,depict,yes,yes,,,,,,,,,,,,
deplore,passive,be deplored,,,,,,,,,,,,yes,yes,
depress,passive,be depressed,,,,,yes,yes,,,,,,,,
derive,active,derive,,,,,yes,,yes,,yes,,,,,
describe,active,describe,yes,yes,,,,,,,,,,,,
desire,active,desire,,,,,yes,,yes,yes,,,,,,
despair,active,despair,,,,,yes,yes,,,,,,,,
despise,active,despise,,,,,yes,yes,,,,,,,,
detail,active,detail,yes,,yes,,,,,,,,,,,
detect,active,detect,,,,,yes,,yes,,yes,,,,,
determine,active,determine,,,,,yes,,yes,,yes,,,,,
detest,active,detest,,,,,yes,yes,,,,,,,,
devastate,passive,be devastated,,,,,yes,yes,,,,,,,,
diagnose,active,diagnose,,,,,yes,,yes,,yes,,,,,
dictate,active,dictate,yes,,yes,,,,,,,,,,,yes
disagree,active,disagree,yes,,yes,,yes,,yes,yes,,,,,,
disappoint,passive,be disappointed,,,,,yes,yes,,,,,,,,
disapprove,active,disapprove,,,,,yes,yes,,,,,,,,
disbelieve,active,disbelieve,,,,,yes,,yes,yes,,,,,,
disclose,active,disclose,yes,,yes,,,,,,,,,,,
discover,active,discover,,,,,yes,,yes,,yes,,,,,
discuss,active,discuss,yes,,yes,,,,,,,,,,,
disgrace,passive,be disgraced,,,,,yes,yes,,,,,,,,
disgruntle,passive,be disgruntled,,,,,yes,yes,,,,,,,,
disgust,passive,be disgusted,,,,,yes,yes,,,,,,,,
dishearten,passive,be disheartened,,,,,yes,yes,,,,,,,,
disillusion,passive,be disillusioned,,,,,yes,yes,,,,,,,,
dislike,active,dislike,,,,,yes,yes,,,,,,,,
dismay,passive,be dismayed,,,,,yes,yes,,,,,,,,
dismiss,active,dismiss,yes,,yes,,,,,,,,,,,
dispel,active,dispel,yes,,yes,,,,,,,,,,,
display,active,display,yes,yes,,,,,,,,,,,,
dispute,active,dispute,yes,,yes,,,,,,,,,,,
disregard,active,disregard,,,,,yes,,yes,yes,,,,,,
dissatisfy,passive,be dissatisfied,,,,,yes,yes,,,,,,,,
distress,passive,be distressed,,,,,yes,yes,,,,,,,,
disturb,passive,be disturbed,,,,,yes,yes,,,,,,,,
divulge,active,divulge,yes,,yes,,,,,,,,,,,
document,active,document,yes,yes,,,,,,,,,,,,
doubt,active,doubt,,,,,yes,,yes,yes,,,,,,
dread,active,dread,,,,,yes,yes,,,,,,,,
dream,active,dream,,,,,yes,,yes,,,yes,,,,
