verb,voice,verb_renamed,communicative,pure_comm,discourse_participation_comm,state_changing_comm,emotive_component,private,emotive,cognitive,stative_cog,telic_cog,activity_cog,evidential,perceptual_evidence,reportative_evidence,inferential_evidence,unclear_classification,unclear_usage,unclear_sub_classification,stative_predicate,dynamic_predicate,change_of_state_predicate,activity_predicate,canonically_projective,volitional,say_verb,discourse_role_verb,mode_verb,say_by_means,say_by_means_manner,say_by_means_sound,say_by_means_form,say_with_attitude
say,active,say,yes,yes,,,,,,,,,,,,,,,,,,yes,,,,yes,yes,,,,,,,
see,active,see,,,,,,yes,,,,,,yes,yes,,,,,,yes,,,,yes,,,,,,,,,
show,active,show,yes,,yes,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,,,,
speculate,active,speculate,yes,,yes,,,yes,,,,,,yes,,,yes,,,,,yes,,,,,,,,,,,,
state,active,state,yes,yes,,,,,,,,,,,,,,,,,,yes,,,,yes,yes,yes,,,,,,
suggest,active,suggest,yes,,yes,,,,,,,,,,,,,,,,,yes,,,,yes,yes,yes,,,,,,
suspect,active,suspect,,,,,,yes,,yes,yes,,,,,,,,,,yes,,,,,,,,,,,,,
tell,passive,be told,,,,,,yes,,,,,,yes,,yes,,,,,,yes,,,,,,,,,,,,
think,active,think,,,,,,yes,,yes,yes,,,,,,,,,,yes,,,,,,yes,,,,,,,
understand,active,understand,,,,,,yes,,yes,yes,,,,,,,,,,yes,,,,yes,,,,,,,,,
warn,active,warn,yes,,,yes,,,,,,,,,,,,,,,,yes,,,,yes,,,,,,,,
wish,active,wish,,,,,,yes,,yes,yes,,,,,,,,,,yes,,,,,yes,,,,,,,,
worry,active,worry,,,,,,yes,yes,,yes,,,,,,,,,,yes,,,,,,,,,,,,,
write,active,write,yes,yes,,,,,,,,,,,,,,,,,,yes,,yes,,yes,yes,,yes,yes,,,yes,
