"","verb_renamed","verb","voice","predicateType","V.Mean.Sum","A.Mean.Sum","D.Mean.Sum","Mean.Proj","CILow","CIHigh","YMin.Proj","YMax.Proj"
"221","infer","infer","active","cognitive",4.79,3.82,4.95,0.1,0.166666666666667,0.166666666666667,-0.0666666666666667,0.266666666666667
"222","be informed","inform","passive","evidential",5.18,3.33,6.4,0.7,0.166666666666667,0.133333333333333,0.533333333333333,0.833333333333333
"223","insinuate","insinuate","active","communicative",4.09,5.22,5.84,0.166666666666667,0.1,0.134166666666666,0.0666666666666667,0.300833333333333
"224","insist","insist","active","communicative",4.42,4.55,6.35,0.166666666666667,0.166666666666667,0.2,0,0.366666666666667
"225","be instructed","instruct","passive","evidential",5.81,4.25,6.23,0.166666666666667,0.2,0.2,-0.0333333333333333,0.366666666666667
"226","be insulted","insult","passive","emotive",2.62,5.3,3.96,0.833333333333333,0.133333333333333,0.133333333333333,0.7,0.966666666666667
"227","intercept","intercept","active","evidential",4.64,4.59,5.1,0.266666666666667,0.166666666666667,0.2,0.1,0.466666666666667
"228","be interested","interest","passive","emotive",6.66,4.36,6.31,0.666666666666667,0.166666666666667,0.166666666666667,0.5,0.833333333333333
"229","be intimidated","intimidate","passive","emotive",2.84,5.27,5.75,0.8,0.2,0.166666666666667,0.6,0.966666666666667
"230","be intrigued","intrigue","passive","emotive",6.05,5.18,6.21,0.6,0.166666666666667,0.166666666666667,0.433333333333333,0.766666666666667
"231","investigate","investigate","active","cognitive",5.68,4.09,5.43,0.233333333333333,0.133333333333333,0.166666666666667,0.1,0.4
"232","be irritated","irritate","passive","emotive",3.19,5.85,4.39,0.9,0.133333333333333,0.1,0.766666666666667,1
"233","be jaded","jade","passive","emotive",6.25,3.43,5.37,0.733333333333333,0.2,0.166666666666667,0.533333333333333,0.9
"234","be jarred","jar","passive","emotive",5.71,2.77,5.26,0.827586206896552,0.172413793103448,0.137931034482759,0.655172413793103,0.96551724137931
"235","jest","jest","active","communicative",6.2,4.21,5.64,0.0666666666666667,0.166666666666667,0.166666666666667,-0.1,0.233333333333333
"236","joke","joke","active","communicative",7.88,5.73,5.79,0.1,0.2,0.2,-0.1,0.3
"237","judge","judge","active","cognitive",3.89,4.5,3.78,0.3,0.233333333333333,0.233333333333333,0.0666666666666667,0.533333333333333
"238","know","know","active","cognitive",6.82,3.24,5.78,0.633333333333333,0.166666666666667,0.166666666666667,0.466666666666667,0.8
"239","leak","leak","active","communicative",4,5.43,4.57,0.566666666666667,0.2,0.2,0.366666666666667,0.766666666666667
"240","learn","learn","active","cognitive",6.85,4.8,7,0.4,0.233333333333333,0.233333333333333,0.166666666666667,0.633333333333333
"241","lecture","lecture","active","communicative",4,3.16,4.5,0.4,0.166666666666667,0.166666666666667,0.233333333333333,0.566666666666667
"242","lie","lie","active","communicative",2.39,4.81,4.72,0.166666666666667,0.233333333333333,0.233333333333333,-0.0666666666666667,0.4
"243","like","like","active","emotive",7.44,4.4,6.28,0.833333333333333,0.2,0.166666666666667,0.633333333333333,1
"244","loathe","loathe","active","emotive",2.68,5.18,4.77,0.724137931034483,0.206896551724138,0.172413793103448,0.517241379310345,0.896551724137931
"245","log","log","active","communicative",4.94,4.29,5.7,0.533333333333333,0.233333333333333,0.2,0.3,0.733333333333333
"246","love","love","active","emotive",8,5.36,5.92,0.933333333333333,0.1,0.0666666666666667,0.833333333333333,1
"247","be maddened","madden","passive","emotive",4.75,5.17,5.33,0.7,0.2,0.166666666666667,0.5,0.866666666666667
"248","maintain","maintain","active","communicative",6.29,2.75,5.89,0.266666666666667,0.1675,0.2,0.0991666666666667,0.466666666666667
"249","manufacture","manufacture","active","communicative",5,4.41,5.45,0.0333333333333333,0.233333333333333,0.233333333333333,-0.2,0.266666666666667
"250","marvel","marvel","active","emotive",5.84,4.77,5.21,0.8,0.166666666666667,0.133333333333333,0.633333333333333,0.933333333333333
"251","be marvelled","marvel","passive","emotive",5.84,4.77,5.21,0.766666666666667,0.133333333333333,0.133333333333333,0.633333333333333,0.9
"252","measure","measure","active","cognitive",5.14,4.36,5.41,0.166666666666667,0.233333333333333,0.2,-0.0666666666666667,0.366666666666667
"253","mention","mention","active","communicative",5.39,2.65,5.33,0.366666666666667,0.234166666666667,0.233333333333333,0.1325,0.6
"254","be misled","mislead","passive","evidential",3.2,5.1,4.2,-0.2,0.233333333333333,0.266666666666667,-0.433333333333333,0.0666666666666667
"255","miss","miss","active","cognitive",4.1,3.9,5.12,0.7,0.2,0.166666666666667,0.5,0.866666666666667
"256","moan","moan","active","communicative",4.05,5.52,6.04,0.466666666666667,0.2,0.2,0.266666666666667,0.666666666666667
"257","mourn","mourn","active","emotive",2.4,4.95,4.08,0.6,0.166666666666667,0.166666666666667,0.433333333333333,0.766666666666667
"258","be moved","move","passive","emotive",4.95,4.24,5.12,0.733333333333333,0.166666666666667,0.166666666666667,0.566666666666667,0.9
"259","mumble","mumble","active","communicative",4.4,3.19,3.68,0.2,0.166666666666667,0.2,0.0333333333333333,0.4
"260","murmur","murmur","active","communicative",4.57,4.08,4.36,0.433333333333333,0.166666666666667,0.166666666666667,0.266666666666667,0.6
"261","muse","muse","active","cognitive",6.3,4.75,6.12,0.1,0.166666666666667,0.166666666666667,-0.0666666666666667,0.266666666666667
"262","mutter","mutter","active","communicative",4.4,3.67,5.57,0.333333333333333,0.2,0.2,0.133333333333333,0.533333333333333
"263","negotiate","negotiate","active","communicative",5.57,5,5.84,0.2,0.166666666666667,0.166666666666667,0.0333333333333333,0.366666666666667
"264","note","note","active","communicative",5.78,3.33,5.28,0.3,0.266666666666667,0.233333333333333,0.0333333333333333,0.533333333333333
"265","notice","notice","active","cognitive",5.94,3.38,5.11,0.733333333333333,0.166666666666667,0.166666666666667,0.566666666666667,0.9
"266","be notified","notify","passive","evidential",4.9,3.13,5.67,0.4,0.233333333333333,0.2,0.166666666666667,0.6
"267","observe","observe","active","evidential",5.3,4.25,5.92,0.4,0.2,0.2,0.2,0.6
"268","be obsessed","obsess","passive","emotive",3.23,4.95,4.1,0.3,0.166666666666667,0.166666666666667,0.133333333333333,0.466666666666667
"269","be offended","offend","passive","emotive",3.29,4.81,4.17,0.966666666666667,0.0666666666666667,0.0333333333333333,0.9,1
"270","be outraged","outrage","passive","emotive",2.97,6.52,4.8,0.766666666666667,0.2,0.166666666666667,0.566666666666667,0.933333333333333
"271","overhear","overhear","active","evidential",3.89,4.27,5.21,0.0666666666666667,0.200833333333333,0.2,-0.134166666666667,0.266666666666667
"272","overlook","overlook","active","cognitive",4.3,3.78,5.1,0.433333333333333,0.3,0.266666666666667,0.133333333333333,0.7
"273","be overwhelmed","overwhelm","passive","emotive",3.3,4.36,4.24,0.733333333333333,0.2,0.166666666666667,0.533333333333333,0.9
"274","be pained","pain","passive","emotive",2,6.27,3.47,0.933333333333333,0.1,0.0666666666666667,0.833333333333333,1
"275","panic","panic","active","emotive",2.56,6.4,2.65,0.566666666666667,0.2,0.2,0.366666666666667,0.766666666666667
"276","be panicked","panic","passive","emotive",2.56,6.4,2.65,0.733333333333333,0.2,0.166666666666667,0.533333333333333,0.9
"277","perceive","perceive","active","cognitive",5.81,4.43,6,0,0.166666666666667,0.166666666666667,-0.166666666666667,0.166666666666667
"278","be persuaded","persuade","passive","evidential",5.67,3.65,6,0.0666666666666667,0.133333333333333,0.133333333333333,-0.0666666666666667,0.2
"279","be pestered","pester","passive","evidential",3.26,5.18,4.04,0.666666666666667,0.166666666666667,0.166666666666667,0.5,0.833333333333333
"280","phone","phone","active","communicative",6.09,3.43,4.44,0.3,0.233333333333333,0.2,0.0666666666666667,0.5
"281","picture","picture","active","cognitive",6.73,3.29,6.12,-0.0666666666666667,0.166666666666667,0.166666666666667,-0.233333333333333,0.1
"282","pity","pity","active","emotive",3.18,4.07,4.52,0.666666666666667,0.2,0.2,0.466666666666667,0.866666666666667
"283","ponder","ponder","active","cognitive",5.65,3.95,5.62,0.133333333333333,0.1,0.133333333333333,0.0333333333333333,0.266666666666667
"284","post","post","active","communicative",5.05,3.58,6.32,0.166666666666667,0.2,0.200833333333333,-0.0333333333333333,0.367499999999999
"285","pout","pout","active","communicative",3.33,4.14,5.52,0.666666666666667,0.233333333333333,0.2,0.433333333333333,0.866666666666667
"286","praise","praise","active","communicative",7.65,5.45,6.57,0.4,0.2,0.2,0.2,0.6
"287","pray","pray","active","cognitive",6.57,3.25,6.58,0,0.1,0.1,-0.1,0.1
"288","preach","preach","active","communicative",4.15,3.71,5.68,0.4,0.166666666666667,0.166666666666667,0.233333333333333,0.566666666666667
"289","predict","predict","active","communicative",6.29,4.68,5.23,0.233333333333333,0.133333333333333,0.166666666666667,0.1,0.4
"290","presume","presume","active","cognitive",4,3.4,5.73,0.1,0.166666666666667,0.166666666666667,-0.0666666666666667,0.266666666666667
"291","pretend","pretend","active","communicative",4.62,4.3,5.58,-0.366666666666667,0.233333333333333,0.266666666666667,-0.6,-0.1
"292","proclaim","proclaim","active","communicative",5.38,4.84,6.1,0.133333333333333,0.2,0.2,-0.0666666666666667,0.333333333333333
"293","be promised","promise","passive","evidential",6.64,3.9,6.47,-0.1,0.166666666666667,0.166666666666667,-0.266666666666667,0.0666666666666667
"294","promise","promise","active","communicative",6.64,3.9,6.47,0.1,0.2,0.2,-0.1,0.3
"295","propose","propose","active","communicative",6.26,4.77,5.77,0.0666666666666667,0.0666666666666667,0.1,0,0.166666666666667
"296","prove","prove","active","communicative",6,3.25,5.78,0.206896551724138,0.275862068965517,0.241379310344828,-0.0689655172413793,0.448275862068966
"297","publish","publish","active","communicative",5.91,3.67,6.44,0.266666666666667,0.2,0.166666666666667,0.0666666666666667,0.433333333333333
"298","be puzzled","puzzle","passive","emotive",6.53,4.42,5.86,0.7,0.166666666666667,0.133333333333333,0.533333333333333,0.833333333333333
"299","quarrel","quarrel","active","communicative",2.84,5.39,4.76,0.133333333333333,0.166666666666667,0.2,-0.0333333333333333,0.333333333333333
"300","question","question","active","communicative",6.36,3.67,5.88,0.3,0.166666666666667,0.166666666666667,0.133333333333333,0.466666666666667
"301","be quoted","quote","passive","evidential",5.85,2.95,5.89,0.233333333333333,0.166666666666667,0.166666666666667,0.0666666666666667,0.4
"302","be radioed","radio","passive","evidential",6,3.84,6.27,0.517241379310345,0.172413793103448,0.172413793103448,0.344827586206897,0.689655172413793
"303","radio","radio","active","communicative",6,3.84,6.27,0.266666666666667,0.133333333333333,0.166666666666667,0.133333333333333,0.433333333333333
"304","rant","rant","active","communicative",3.43,5.23,4.45,0.333333333333333,0.266666666666667,0.233333333333333,0.0666666666666667,0.566666666666667
"305","rationalize","rationalize","active","cognitive",5.47,3.59,6.43,0.233333333333333,0.233333333333333,0.2,0,0.433333333333333
"306","rave","rave","active","communicative",5.68,4.77,5.83,0.266666666666667,0.200833333333333,0.233333333333333,0.0658333333333334,0.5
"307","read","read","active","evidential",6.73,3.7,6.11,0.433333333333333,0.2,0.2,0.233333333333333,0.633333333333333
"308","realize","realize","active","cognitive",6.44,3.24,6.94,0.866666666666667,0.166666666666667,0.133333333333333,0.7,1
"309","reason","reason","active","cognitive",6.27,3.33,6.11,0.266666666666667,0.2,0.2,0.0666666666666667,0.466666666666667
"310","be reassured","reassure","passive","evidential",6.55,3.7,6.07,0.233333333333333,0.133333333333333,0.166666666666667,0.1,0.4
"311","recall","recall","active","cognitive",4.77,4.48,5.78,0.233333333333333,0.233333333333333,0.2,0,0.433333333333333
"312","recap","recap","active","communicative",5.33,3.26,5.15,0.133333333333333,0.2,0.2,-0.0666666666666667,0.333333333333333
"313","reckon","reckon","active","cognitive",5.25,2.86,4.88,0.0333333333333333,0.233333333333333,0.2,-0.2,0.233333333333333
"314","recognize","recognize","active","cognitive",6.14,4.2,7.11,0.633333333333333,0.2,0.166666666666667,0.433333333333333,0.8
"315","recollect","recollect","active","cognitive",5.05,3.05,5.75,0.233333333333333,0.233333333333333,0.233333333333333,0,0.466666666666667
"316","reconsider","reconsider","active","cognitive",5.74,3.55,5.25,0.2,0.166666666666667,0.167499999999999,0.0333333333333333,0.367499999999999
"317","record","record","active","communicative",5.89,3.3,5.5,0.4,0.2,0.2,0.2,0.6
"318","regret","regret","active","emotive",3.41,4.9,5.63,0.7,0.2,0.166666666666667,0.5,0.866666666666667
"319","reiterate","reiterate","active","communicative",4.9,3.62,6.2,0.533333333333333,0.166666666666667,0.2,0.366666666666667,0.733333333333333
"320","reject","reject","active","communicative",2.95,4.78,3.46,0.0666666666666667,0.2,0.2,-0.133333333333333,0.266666666666667
"321","relate","relate","active","communicative",6.05,3.64,6,0.4,0.233333333333333,0.2,0.166666666666667,0.6
"322","be relieved","relieve","passive","emotive",7.25,3.9,6.62,0.633333333333333,0.233333333333333,0.233333333333333,0.4,0.866666666666667
"323","relish","relish","active","emotive",4.55,4.45,5.56,0.6,0.233333333333333,0.2,0.366666666666667,0.8
"324","remark","remark","active","communicative",5.05,3,6.3,0.233333333333333,0.166666666666667,0.166666666666667,0.0666666666666667,0.4
"325","remember","remember","active","cognitive",6.5,3.14,6.31,0.433333333333333,0.2,0.2,0.233333333333333,0.633333333333333
"326","be reminded","remind","passive","evidential",4.81,4.2,6.47,0.586206896551724,0.275862068965517,0.206896551724138,0.310344827586207,0.793103448275862
"327","reminisce","reminisce","active","communicative",6.67,4.09,6.04,0.413793103448276,0.206896551724138,0.173275862068965,0.206896551724138,0.587068965517241
"328","repeat","repeat","active","communicative",4.64,3.7,6.21,0.4,0.233333333333333,0.2,0.166666666666667,0.6
"329","reply","reply","active","communicative",6.15,3.44,6.79,0.266666666666667,0.233333333333333,0.233333333333333,0.0333333333333333,0.5
"330","report","report","active","communicative",4.77,3.52,4.94,0.333333333333333,0.233333333333333,0.2,0.1,0.533333333333333
"331","request","request","active","communicative",5.85,4.45,5.67,0.133333333333333,0.133333333333333,0.166666666666667,0,0.3
"332","require","require","active","cognitive",4.74,4.33,4.79,-0.0666666666666667,0.1,0.0666666666666667,-0.166666666666667,0
"333","research","research","active","cognitive",6.5,4.8,7.16,0.333333333333333,0.2,0.2,0.133333333333333,0.533333333333333
"334","resent","resent","active","emotive",3.28,4.05,4.21,0.966666666666667,0.0666666666666667,0.0333333333333333,0.9,1
"335","resolve","resolve","active","cognitive",5.85,2.65,6.92,0.166666666666667,0.233333333333333,0.2,-0.0666666666666667,0.366666666666667
"336","respond","respond","active","communicative",5.71,3.09,6,0.233333333333333,0.2,0.2,0.0333333333333333,0.433333333333333
"337","retract","retract","active","communicative",5.38,3.5,4.86,0.0333333333333333,0.233333333333333,0.233333333333333,-0.2,0.266666666666667
"338","reveal","reveal","active","communicative",5.86,4.14,6.5,0.566666666666667,0.1675,0.166666666666667,0.399166666666667,0.733333333333333
"339","be revolted","revolt","passive","emotive",4,4.36,4.97,0.766666666666667,0.166666666666667,0.133333333333333,0.6,0.9
"340","be roused","rouse","passive","emotive",5.24,4.79,4.95,0.7,0.233333333333333,0.2,0.466666666666667,0.9
"341","rule","rule","active","communicative",4.5,3.67,3.61,0.133333333333333,0.166666666666667,0.166666666666667,-0.0333333333333333,0.3
"342","be satisfied","satisfy","passive","emotive",7.09,5.53,6.33,0.7,0.166666666666667,0.166666666666667,0.533333333333333,0.866666666666667
"343","say","say","active","communicative",5.91,4.43,6.88,0.266666666666667,0.2,0.2,0.0666666666666667,0.466666666666667
"344","be scared","scare","passive","emotive",3.55,7.1,4.58,0.689655172413793,0.206896551724138,0.172413793103448,0.482758620689655,0.862068965517241
"345","scoff","scoff","active","communicative",3.47,3.4,5.7,0.4,0.2,0.2,0.2,0.6
"346","scream","scream","active","communicative",3.02,6.74,4.51,0.2,0.2,0.2,0,0.4
"347","scribble","scribble","active","communicative",5.21,3.76,5.6,0.233333333333333,0.2,0.2,0.0333333333333333,0.433333333333333
"348","see","see","active","evidential",6.27,3.9,6,0.4,0.2,0.2,0.2,0.6
"349","select","select","active","cognitive",6.1,4.05,5.46,0.166666666666667,0.2,0.2,-0.0333333333333333,0.366666666666667
"350","share","share","active","communicative",6.22,3.2,6.44,0.566666666666667,0.200833333333333,0.2,0.365833333333333,0.766666666666667
"351","be shocked","shock","passive","emotive",3.9,5.95,5.79,0.866666666666667,0.133333333333333,0.1,0.733333333333333,0.966666666666667
"352","shout","shout","active","communicative",5,6.29,5.85,0.333333333333333,0.2,0.2,0.133333333333333,0.533333333333333
"353","be shown","show","passive","evidential",5.91,4.1,5.83,0.366666666666667,0.2,0.2,0.166666666666667,0.566666666666667
"354","show","show","active","communicative",5.91,4.1,5.83,0.4,0.2,0.2,0.2,0.6
"355","showcase","showcase","active","communicative",6.29,3.71,4.4,0.333333333333333,0.2,0.233333333333333,0.133333333333333,0.566666666666667
"356","shriek","shriek","active","communicative",3.45,5.37,4,0.466666666666667,0.2,0.2,0.266666666666667,0.666666666666667
"357","sigh","sigh","active","communicative",4.29,2.91,5,0.3,0.233333333333333,0.233333333333333,0.0666666666666667,0.533333333333333
"358","signal","signal","active","communicative",5.27,4.05,7.05,0.366666666666667,0.2,0.2,0.166666666666667,0.566666666666667
"359","be signalled","signal","passive","evidential",5.27,4.05,7.05,0.266666666666667,0.166666666666667,0.166666666666667,0.1,0.433333333333333
"360","signify","signify","active","communicative",5.16,4.8,5.58,0.233333333333333,0.233333333333333,0.2,0,0.433333333333333
"361","simulate","simulate","active","communicative",5.76,4.84,5.19,0.166666666666667,0.166666666666667,0.2,0,0.366666666666667
"362","sing","sing","active","communicative",7.5,4.1,6.67,0.206896551724138,0.172413793103448,0.172413793103448,0.0344827586206896,0.379310344827586
"363","sketch","sketch","active","communicative",6.21,4.33,6.2,0.3,0.166666666666667,0.166666666666667,0.133333333333333,0.466666666666667
"364","snap","snap","active","communicative",4.42,3.42,4.86,0.333333333333333,0.233333333333333,0.2,0.1,0.533333333333333
"365","snitch","snitch","active","communicative",3.79,5.67,4.42,0.533333333333333,0.2,0.166666666666667,0.333333333333333,0.7
"366","sob","sob","active","communicative",2.65,4.89,3.29,0.466666666666667,0.2,0.2,0.266666666666667,0.666666666666667
"367","specify","specify","active","communicative",5.53,3.64,5.22,0.366666666666667,0.200833333333333,0.200833333333333,0.165833333333333,0.567499999999999
"368","be spooked","spook","passive","emotive",3.7,5.14,5,0.6,0.2,0.167499999999999,0.4,0.767499999999999
"369","spot","spot","active","evidential",5.12,2.95,4.83,0.7,0.2,0.166666666666667,0.5,0.866666666666667
"370","spout","spout","active","communicative",5.29,3.14,5.11,0.433333333333333,0.166666666666667,0.166666666666667,0.266666666666667,0.6
"371","squeal","squeal","active","communicative",5.14,5.45,4.57,0.366666666666667,0.2,0.2,0.166666666666667,0.566666666666667
"372","be startled","startle","passive","emotive",4.65,4.4,4.55,0.866666666666667,0.166666666666667,0.133333333333333,0.7,1
"373","state","state","active","communicative",5.73,3.29,5.65,0.2,0.2,0.2,0,0.4
"374","be stimulated","stimulate","passive","emotive",7.38,6,7.14,0.724137931034483,0.172413793103448,0.137931034482759,0.551724137931034,0.862068965517241
"375","stipulate","stipulate","active","communicative",4.86,4.11,5.71,0.233333333333333,0.166666666666667,0.2,0.0666666666666667,0.433333333333333
"376","be stressed","stress","passive","emotive",1.79,4.72,3.85,0.733333333333333,0.166666666666667,0.166666666666667,0.566666666666667,0.9
"377","stress","stress","active","communicative",1.79,4.72,3.85,0.6,0.2,0.2,0.4,0.8
"378","be stunned","stun","passive","emotive",4.55,5.5,4.19,0.8,0.166666666666667,0.166666666666667,0.633333333333333,0.966666666666667
"379","stutter","stutter","active","communicative",2.95,4.48,4.72,0.3,0.2,0.2,0.1,0.5
"380","submit","submit","active","communicative",3.9,3.91,4.43,0.166666666666667,0.166666666666667,0.2,0,0.366666666666667
"381","suggest","suggest","active","communicative",5.55,3.75,5.84,-0.166666666666667,0.133333333333333,0.133333333333333,-0.3,-0.0333333333333333
"382","summarize","summarize","active","communicative",4.89,2.8,6.4,0.366666666666667,0.2,0.2,0.166666666666667,0.566666666666667
"383","suppose","suppose","active","cognitive",5.27,3.33,5.11,0,0.1,0.1,-0.1,0.1
"384","be surprised","surprise","passive","emotive",7.44,6.57,5.17,0.866666666666667,0.166666666666667,0.133333333333333,0.7,1
"385","suspect","suspect","active","cognitive",2.39,4.57,3.22,0.166666666666667,0.166666666666667,0.2,0,0.366666666666667
"386","swear","swear","active","communicative",3.44,5.05,4.11,0.233333333333333,0.2,0.2,0.0333333333333333,0.433333333333333
"387","tease","tease","active","communicative",4.17,5.21,5.24,0.166666666666667,0.166666666666667,0.2,0,0.366666666666667
"388","be told","tell","passive","evidential",5.27,3.86,4.94,0.333333333333333,0.2,0.2,0.133333333333333,0.533333333333333
"389","be terrified","terrify","passive","emotive",2.84,6.39,2.79,0.8,0.133333333333333,0.133333333333333,0.666666666666667,0.933333333333333
"390","test","test","active","communicative",4.44,4.3,4.06,0.0666666666666667,0.133333333333333,0.133333333333333,-0.0666666666666667,0.2
"391","testify","testify","active","communicative",4.55,6.16,5.88,0.2,0.2,0.2,0,0.4
"392","think","think","active","cognitive",6.68,3.75,6.5,-0.0333333333333333,0.0666666666666667,0.0333333333333333,-0.1,0
"393","be thrilled","thrill","passive","emotive",7.37,7.19,6.09,0.9,0.166666666666667,0.1,0.733333333333333,1
"394","be tortured","torture","passive","emotive",1.4,5.09,2.76,0.7,0.2,0.166666666666667,0.5,0.866666666666667
"395","be tricked","trick","passive","evidential",4.89,5.57,3.22,-0.366666666666667,0.233333333333333,0.266666666666667,-0.6,-0.1
"396","be troubled","trouble","passive","emotive",2.87,5.59,4.35,0.9,0.1,0.1,0.8,1
"397","trust","trust","active","cognitive",7.24,4.3,6.95,0.0666666666666667,0.133333333333333,0.133333333333333,-0.0666666666666667,0.2
"398","be tweeted","tweet","passive","evidential",5.37,3.39,5.37,0.166666666666667,0.2,0.2,-0.0333333333333333,0.366666666666667
"399","tweet","tweet","active","communicative",5.37,3.39,5.37,0.233333333333333,0.200833333333333,0.233333333333333,0.0325000000000001,0.466666666666667
"400","type","type","active","communicative",6.06,2.86,4.89,0.1,0.166666666666667,0.166666666666667,-0.0666666666666667,0.266666666666667
"401","uncover","uncover","active","cognitive",4.89,3.55,6.5,0.266666666666667,0.234166666666667,0.233333333333333,0.0325000000000001,0.5
"402","underestimate","underestimate","active","cognitive",4.35,4.48,5.08,0.333333333333333,0.2,0.2,0.133333333333333,0.533333333333333
"403","understand","understand","active","cognitive",6.68,3.52,6.71,0.566666666666667,0.2,0.2,0.366666666666667,0.766666666666667
"404","update","update","active","communicative",5.85,3.89,5.71,0.366666666666667,0.166666666666667,0.2,0.2,0.566666666666667
"405","be updated","update","passive","evidential",5.85,3.89,5.71,0.666666666666667,0.166666666666667,0.166666666666667,0.5,0.833333333333333
"406","uphold","uphold","active","communicative",5.25,3.89,6.39,0.266666666666667,0.166666666666667,0.2,0.1,0.466666666666667
"407","be upset","upset","passive","emotive",2.45,4.49,4.3,0.933333333333333,0.1,0.0666666666666667,0.833333333333333,1
"408","utter","utter","active","communicative",4.76,3.9,5.33,0.233333333333333,0.233333333333333,0.2,0,0.433333333333333
"409","verify","verify","active","communicative",5.43,4.21,6.57,0.2,0.2,0.2,0,0.4
"410","videotape","videotape","active","evidential",5.68,4.67,5.59,0.466666666666667,0.2,0.2,0.266666666666667,0.666666666666667
"411","voice","voice","active","communicative",6.5,3.25,6.22,0.433333333333333,0.2,0.2,0.233333333333333,0.633333333333333
"412","volunteer","volunteer","active","communicative",7.35,3.95,6.68,0.266666666666667,0.2,0.2,0.0666666666666667,0.466666666666667
"413","vote","vote","active","communicative",5.24,5.05,6.79,0.2,0.166666666666667,0.166666666666667,0.0333333333333333,0.366666666666667
"414","vow","vow","active","communicative",6.6,4.21,6,0.233333333333333,0.166666666666667,0.166666666666667,0.0666666666666667,0.4
"415","wager","wager","active","communicative",4.68,4.75,4.83,0.1,0.133333333333333,0.133333333333333,-0.0333333333333333,0.233333333333333
"416","warn","warn","active","communicative",4.9,4.65,5.27,0.551724137931034,0.241379310344828,0.241379310344828,0.310344827586207,0.793103448275862
"417","be warned","warn","passive","evidential",4.9,4.65,5.27,0.766666666666667,0.134166666666667,0.133333333333333,0.6325,0.9
"418","warrant","warrant","active","communicative",3.23,5.61,4.11,0.2,0.166666666666667,0.166666666666667,0.0333333333333333,0.366666666666667
"419","weep","weep","active","communicative",2.88,4,4.17,0.633333333333333,0.166666666666667,0.133333333333333,0.466666666666667,0.766666666666667
"420","whimper","whimper","active","communicative",3.9,4.29,4.72,0.466666666666667,0.2,0.2,0.266666666666667,0.666666666666667
"421","whine","whine","active","communicative",2.82,3.62,4.73,0.7,0.166666666666667,0.166666666666667,0.533333333333333,0.866666666666667
"422","whisper","whisper","active","communicative",6.14,4.1,5.66,0.3,0.1675,0.2,0.1325,0.5
"423","will","will","active","communicative",5.32,2.9,6.61,0.133333333333333,0.166666666666667,0.134166666666666,-0.0333333333333333,0.267499999999999
"424","wish","wish","active","cognitive",7.14,3.38,6.5,0.166666666666667,0.2,0.2,-0.0333333333333333,0.366666666666667
"425","witness","witness","active","evidential",5.61,3.67,4.44,0.366666666666667,0.233333333333333,0.2,0.133333333333333,0.566666666666667
"426","worry","worry","active","emotive",2.1,6.33,3.17,0.4,0.2,0.2,0.2,0.6
"427","be worried","worry","passive","emotive",2.1,6.33,3.17,0.3,0.266666666666667,0.233333333333333,0.0333333333333333,0.533333333333333
"428","write","write","active","communicative",6.45,3.81,5.28,0.3,0.1675,0.166666666666667,0.1325,0.466666666666667
"429","yell","yell","active","communicative",3.58,4.94,4.29,0.266666666666667,0.2,0.2,0.0666666666666667,0.466666666666667
