"","verb_renamed","verb","voice","predicateType","V.Mean.Sum","A.Mean.Sum","D.Mean.Sum","Mean.Proj","CILow","CIHigh","YMin.Proj","YMax.Proj"
"45","be bothered","bother","passive","emotive",4.44,4.2,4.22,0.966666666666667,0.0666666666666667,0.0333333333333333,0.9,1
"46","brag","brag","active","communicative",4.05,3.5,5.32,0.266666666666667,0.266666666666667,0.233333333333333,0,0.5
"47","broadcast","broadcast","active","communicative",4.89,4.41,4.92,0.433333333333333,0.233333333333333,0.233333333333333,0.2,0.666666666666667
"48","be bugged","bug","passive","emotive",3.45,6.06,4.08,0.7,0.2,0.166666666666667,0.5,0.866666666666667
"49","calculate","calculate","active","cognitive",4.89,3.18,6.39,0.166666666666667,0.166666666666667,0.2,0,0.366666666666667
"50","care","care","active","emotive",7.64,2.67,6.56,0.466666666666667,0.233333333333333,0.2,0.233333333333333,0.666666666666667
"51","celebrate","celebrate","active","communicative",7.84,6.73,6.12,0.733333333333333,0.166666666666667,0.133333333333333,0.566666666666667,0.866666666666667
"52","certify","certify","active","communicative",5.89,3.62,5.93,0.366666666666667,0.166666666666667,0.2,0.2,0.566666666666667
"53","challenge","challenge","active","communicative",5.95,5.25,4.68,0.166666666666667,0.166666666666667,0.166666666666667,0,0.333333333333333
"54","chant","chant","active","communicative",4.32,3.29,5.2,0.233333333333333,0.233333333333333,0.2,0,0.433333333333333
"55","charge","charge","active","communicative",4.61,4.25,5.17,-0.0333333333333333,0.134166666666667,0.133333333333333,-0.1675,0.1
"56","be charmed","charm","passive","emotive",7.34,4.51,6.43,0.733333333333333,0.166666666666667,0.166666666666667,0.566666666666667,0.9
"57","chatter","chatter","active","communicative",5.9,4.44,5.95,0.333333333333333,0.2,0.2,0.133333333333333,0.533333333333333
"58","check","check","active","cognitive",6.55,3.38,4.67,0.0333333333333333,0.1,0.1,-0.0666666666666667,0.133333333333333
"59","be cheered","cheer","passive","emotive",7.1,5.33,6.37,0.733333333333333,0.166666666666667,0.133333333333333,0.566666666666667,0.866666666666667
"60","cheer","cheer","active","communicative",7.1,5.33,6.37,0.533333333333333,0.233333333333333,0.2,0.3,0.733333333333333
"61","chronicle","chronicle","active","communicative",6.1,3.59,5.71,0.333333333333333,0.233333333333333,0.233333333333333,0.1,0.566666666666667
"62","circulate","circulate","active","communicative",5.19,4,5.68,0.344827586206897,0.241379310344828,0.241379310344828,0.103448275862069,0.586206896551724
"63","claim","claim","active","communicative",5.15,3.9,6.06,-0.1,0.166666666666667,0.166666666666667,-0.266666666666667,0.0666666666666667
"64","clarify","clarify","active","communicative",6,2.85,6.04,0.366666666666667,0.2,0.2,0.166666666666667,0.566666666666667
"65","be comforted","comfort","passive","emotive",7.24,2.76,7.18,0.8,0.133333333333333,0.133333333333333,0.666666666666667,0.933333333333333
"66","comment","comment","active","communicative",5.65,3.56,5.96,0.266666666666667,0.133333333333333,0.166666666666667,0.133333333333333,0.433333333333333
"67","communicate","communicate","active","communicative",6.28,3.79,6.8,0.3,0.266666666666667,0.266666666666667,0.0333333333333333,0.566666666666667
"68","complain","complain","active","communicative",3.1,5.18,5.1,0.6,0.166666666666667,0.166666666666667,0.433333333333333,0.766666666666667
"69","comprehend","comprehend","active","cognitive",6.57,3.94,6.73,0.733333333333333,0.166666666666667,0.166666666666667,0.566666666666667,0.9
"70","compute","compute","active","cognitive",5.74,3.45,6.68,0.3,0.2,0.233333333333333,0.1,0.533333333333333
"71","conceal","conceal","active","communicative",3.95,3.74,6.05,0.6,0.2,0.2,0.4,0.8
"72","concede","concede","active","communicative",4.48,2.73,4.78,0.4,0.2,0.2,0.2,0.6
"73","conceive","conceive","active","cognitive",5.63,4.95,5.92,0.0333333333333333,0.2,0.2,-0.166666666666667,0.233333333333333
"74","be concerned","concern","passive","emotive",5.05,4.7,5.55,0.466666666666667,0.2,0.2,0.266666666666667,0.666666666666667
"75","conclude","conclude","active","cognitive",4.81,2.57,5.85,0.0666666666666667,0.233333333333333,0.233333333333333,-0.166666666666667,0.3
"76","confess","confess","active","communicative",4.85,4.67,5.53,0.4,0.2,0.2,0.2,0.6
"77","confide","confide","active","communicative",6.21,3.43,6.42,0.2,0.233333333333333,0.233333333333333,-0.0333333333333333,0.433333333333333
"78","confirm","confirm","active","communicative",5.76,3.38,6.56,0.3,0.233333333333333,0.2,0.0666666666666667,0.5
"79","be congratulated","congratulate","passive","evidential",6.33,4.77,7,0.5,0.266666666666667,0.233333333333333,0.233333333333333,0.733333333333333
"80","conjecture","conjecture","active","cognitive",4.71,3.64,4.67,0.0333333333333333,0.166666666666667,0.166666666666667,-0.133333333333333,0.2
"81","consent","consent","active","communicative",6.42,3.88,6.58,0.333333333333333,0.166666666666667,0.2,0.166666666666667,0.533333333333333
