verb,voice,verb_renamed,communicative,pure,discourse_participation,state_changing,private,emotive,cognitive,stative,telic,activity,evidential ,unclear_classification,unclear_usage,unclear_sub_classification,stative_predicate,dynamic_predicate
congratulate,passive,be congratulated,,,,,yes,,,,,,yes,,,,,yes
conjecture,active,conjecture,,,,,yes,,yes,yes,,,,,,,yes,
consent,active,consent,yes,,yes,,,,,,,,,,,,,yes
console,passive,be consoled,,,,,yes,yes,,,,,,,,,yes,
consult,passive,be consulted,,,,,yes,,,,,,yes,,yes,,,yes
contact,passive,be contacted,,,,,yes,,,,,,yes,,yes,,,yes
contemplate,active,contemplate,,,,,yes,,yes,,,yes,,,,,,yes
contend,active,contend,yes,,yes,,,,,,,,,,,,,yes
content,passive,be content,,,,,yes,yes,,,,,,,,,yes,
contest,active,contest,yes,,yes,,,,,,,,,,,,,yes
convey,active,convey,yes,,yes,,,,,,,,,,,,,yes
convince,passive,be convinced,,,,,yes,,yes,yes,,,yes,,,,yes,yes
corroborate,active,corroborate,yes,,yes,,,,,,,,,,,,,yes
cringe,active,cringe,yes,,,,,,,,,,,,,,,yes
crush,passive,be crushed,,,,,yes,yes,,,,,,,,,yes,
cry,active,cry,yes,yes,,,,,,,,,,,,,,yes
curse,active,curse,yes,yes,,,,,,,,,,,,,,yes
daydream,active,daydream,,,,,yes,,yes,,,yes,,,,,,yes
daze,passive,be dazed,,,,,yes,yes,,,,,,,,,yes,
debate,active,debate,yes,,yes,,,,,,,,,,,,,yes
deceive,passive,be deceived,,,,,yes,,,,,,yes,,,,,yes
decide,active,decide,,,,,yes,,yes,,yes,,,,,,,yes
declare,active,declare,yes,,yes,,,,,,,,,,,,,yes
decree,active,decree,yes,,yes,,,,,,,,,,,,,yes
deduce,active,deduce,,,,,yes,,yes,,yes,,,,,,,yes
delight,passive,be delighted,,,,,yes,yes,,,,,,,,,yes,
delude,passive,be deluded,,,,,yes,,yes,yes,,,,,,,yes,
demand,active,demand,yes,,yes,,,,,,,,,,,,,yes
demonstrate,active,demonstrate,yes,,,yes,,,,,,,,,,,,yes
demoralize,passive,be demoralized,,,,,yes,yes,,,,,,,,,yes,
denounce,active,denounce,yes,,yes,,,,,,,,,,,,,yes
deny,active,deny,yes,,yes,,,,,,,,,,,,,yes
depict,active,depict,yes,yes,,,,,,,,,,,,,,yes
deplore,passive,be deplored,,,,,,,,,,,,yes,yes,,,
depress,passive,be depressed,,,,,yes,yes,,,,,,,,,yes,
derive,active,derive,,,,,yes,,yes,,yes,,,,,,,yes
describe,active,describe,yes,yes,,,,,,,,,,,,,,yes
desire,active,desire,,,,,yes,,yes,yes,,,,,,,yes,
despair,active,despair,,,,,yes,yes,,,,,,,,,yes,
despise,active,despise,,,,,yes,yes,,,,,,,,,yes,
detail,active,detail,yes,,yes,,,,,,,,,,,,,yes
detect,active,detect,,,,,yes,,yes,,yes,,,,,,,yes
determine,active,determine,,,,,yes,,yes,,yes,,,,,,,yes
detest,active,detest,,,,,yes,yes,,,,,,,,,yes,
devastate,passive,be devastated,,,,,yes,yes,,,,,,,,,yes,
diagnose,active,diagnose,,,,,yes,,yes,,yes,,,,,,,yes
dictate,active,dictate,yes,,yes,,,,,,,,,,,yes,,yes
disagree,active,disagree,yes,,yes,,yes,,yes,yes,,,,,,,yes,yes
disappoint,passive,be disappointed,,,,,yes,yes,,,,,,,,,yes,
disapprove,active,disapprove,,,,,yes,yes,,,,,,,,,yes,
disbelieve,active,disbelieve,,,,,yes,,yes,yes,,,,,,,yes,
disclose,active,disclose,yes,,yes,,,,,,,,,,,,,yes
discover,active,discover,,,,,yes,,yes,,yes,,,,,,,yes
discuss,active,discuss,yes,,yes,,,,,,,,,,,,,yes
disgrace,passive,be disgraced,,,,,yes,yes,,,,,,,,,yes,
disgruntle,passive,be disgruntled,,,,,yes,yes,,,,,,,,,yes,
disgust,passive,be disgusted,,,,,yes,yes,,,,,,,,,yes,
dishearten,passive,be disheartened,,,,,yes,yes,,,,,,,,,yes,
disillusion,passive,be disillusioned,,,,,yes,yes,,,,,,,,,yes,
dislike,active,dislike,,,,,yes,yes,,,,,,,,,yes,
dismay,passive,be dismayed,,,,,yes,yes,,,,,,,,,yes,
dismiss,active,dismiss,yes,,yes,,,,,,,,,,,,,yes
dispel,active,dispel,yes,,yes,,,,,,,,,,,,,yes
display,active,display,yes,yes,,,,,,,,,,,,,,yes
dispute,active,dispute,yes,,yes,,,,,,,,,,,,,yes
