verb,voice,verb_renamed,communicative,pure,discourse_participation,state_changing,private,emotive,cognitive,stative,telic,activity,evidential ,unclear_classification,unclear_usage,unclear_sub_classification,stative_predicate,dynamic_predicate
reminisce,active,reminisce,yes,,,,,,,,,yes,,,,,,yes
repeat,active,repeat,yes,yes,,,,,,,,,,,,,,yes
reply,active,reply,yes,,yes,,,,,,,,,,,,,yes
report,active,report,yes,,yes,,,,,,,,,,,,,yes
repress,active,repress,,,,,yes,,yes,yes,,,,,,,yes,
request,active,request,yes,,yes,,,,,,,,,,,,,yes
require,active,require,,,,,yes,,yes,yes,,,,,,,yes,
research,active,research,,,,,yes,,yes,,yes,,,,,,,yes
resent,active,resent,,,,,yes,yes,,,,,,,,,yes,
resolve,active,resolve,,,,,yes,,yes,,yes,,,,,,,yes
respond,active,respond,yes,,yes,,,,,,,,,,,,,yes
restate,active,restate,yes,yes,,,,,,,,,,,,,,yes
retort,active,retort,yes,,yes,,,,,,,,,,,,,yes
retract,active,retract,yes,,yes,,,,,,,,,,,,,yes
reveal,active,reveal,yes,,yes,,,,,,,,,,,,,yes
revolt,passive,be revolted,,,,,yes,yes,,,,,,,,,yes,
rouse,passive,be roused,,,,,yes,yes,,,,,,,,,yes,
rule,active,rule,yes,,yes,,,,,,,,,,,,,yes
ruminate,active,ruminate,,,,,yes,,yes,,,yes,,,,,,yes
sadden,passive,be saddened,,,,,yes,yes,,,,,,,,,yes,
satisfy,passive,be satisfied,,,,,yes,yes,,,,,,,,,yes,
say,active,say,yes,yes,,,,,,,,,,,,,,yes
scare,passive,be scared,,,,,yes,yes,,,,,,,,,yes,
scoff,active,scoff,yes,yes,,,,,,,,,,,,,,yes
scream,active,scream,yes,yes,,,,,,,,,,,,,,yes
scribble,active,scribble,yes,yes,,,,,,,,,,,,,,yes
see,active,see,,,,,yes,,,,,,yes,,,,yes,
select,active,select,,,,,yes,,yes,,yes,,,,,,,yes
shame,passive,be shamed,,,,,,,,,,,,yes,,,,yes
share,active,share,yes,,yes,,,,,,,,,,,,,yes
shock,passive,be shocked,,,,,yes,yes,,,,,,,,,yes,
shout,active,shout,yes,yes,,,,,,,,,,,,,,yes
show,active,show,yes,,yes,,,,,,,,,,,,,yes
show,passive,be shown,,,,,yes,,,,,,yes,,,,,yes
showcase,active,showcase,yes,,,yes,,,,,,,,,,,,yes
shriek,active,shriek,yes,yes,,,,,,,,,,,,,,yes
sicken,passive,be sickened,,,,,yes,yes,,,,,,,,,yes,
sigh,active,sigh,yes,yes,,,,,,,,,,,,,,yes
signal,active,signal,yes,,yes,,,,,,,,,,,,,yes
signal,passive,be signalled,,,,,yes,,,,,,yes,,,,,yes
signify,active,signify,yes,,yes,,,,,,,,,,,,,yes
simulate,active,simulate,yes,,,yes,,,,,,,,,,,,yes
sing,active,sing,yes,yes,,,,,,,,,,,,,,yes
sketch,active,sketch,yes,yes,,,,,,,,,,,,,,yes
snap,active,snap,yes,yes,,,,,,,,,,,,,,yes
snitch,active,snitch,yes,,yes,,,,,,,,,,,,,yes
sob,active,sob,yes,yes,,,,,,,,,,,,,,yes
specify,active,specify,yes,,yes,,,,,,,,,,,,,yes
spellbind,passive,be spellbound,,,,,yes,yes,,,,,,,,,yes,
spook,passive,be spooked,,,,,yes,yes,,,,,,,,,yes,
spot,active,spot,,,,,yes,,,,,,yes,,,,,yes
spout,active,spout,yes,yes,,,,,,,,,,,,,,yes
squeal,active,squeal,yes,yes,,,,,,,,,,,,,,yes
stammer,active,stammer,yes,yes,,,,,,,,,,,,,,yes
startle,passive,be startled,,,,,yes,yes,,,,,,,,,yes,
state,active,state,yes,yes,,,,,,,,,,,,,,yes
stimulate,passive,be stimulated,,,,,yes,yes,,,,,,,,,yes,
stipulate,active,stipulate,yes,,yes,,,,,,,,,,,,,yes
stress,active,stress,yes,,yes,,,,,,,,,,,,,yes
stress,passive,be stressed,,,,,yes,yes,,,,,,,,,yes,
stun,passive,be stunned,,,,,yes,yes,,,,,,,,,yes,
stupefy,passive,be stupefied,,,,,yes,yes,,,,,,,,,yes,
stutter,active,stutter,yes,yes,,,,,,,,,,,,,,yes
submit,active,submit,yes,,yes,,,,,,,,,,,,,yes
suggest,active,suggest,yes,,yes,,,,,,,,,,,,,yes
summarize,active,summarize,yes,,yes,,,,,,,,,,,,,yes
suppose,active,suppose,,,,,yes,,yes,yes,,,,,,,yes,
surmise,active,surmise,,,,,yes,,yes,yes,,,,,,,yes,
surprise,passive,be surprised,,,,,yes,yes,,,,,,,,,yes,
suspect,active,suspect,,,,,yes,,yes,yes,,,,,,,yes,
swear,active,swear,yes,,,yes,,,,,,,,,,,,yes
tantalize,passive,be tantalized,,,,,yes,yes,,,,,,,,,yes,
tease,active,tease,yes,,yes,,,,,,,,,,,,,yes
tell,passive,be told,,,,,yes,,,,,,yes,,,,,yes
terrify,passive,be terrified,,,,,yes,yes,,,,,,,,,yes,
test,active,test,yes,,,yes,,,,,,,,,,,,yes
testify,active,testify,yes,,yes,,,,,,,,,,,,,yes
theorize,active,theorize,yes,,,yes,yes,,yes,,yes,,,,,,,yes
think,active,think,,,,,yes,,yes,yes,,,,,,,yes,
thrill,passive,be thrilled,,,,,yes,yes,,,,,,,,,yes,
torture,passive,be tortured,,,,,yes,yes,,,,,,,,,yes,
traumatize,passive,be traumatized,,,,,yes,yes,,,,,,,,,yes,
trick,passive,be tricked,,,,,yes,,,,,,yes,,,,,yes
trouble,passive,be troubled,,,,,yes,yes,,,,,,,,,yes,
trust,active,trust,,,,,yes,,yes,yes,,,,,,,yes,
tweet,active,tweet,yes,yes,,,,,,,,,,,,,,yes
tweet,passive,be tweeted,,,,,yes,,,,,,yes,,,,yes,
type,active,type,yes,yes,,,,,,,,,,,,,,yes
uncover,active,uncover,,,,,yes,,yes,,yes,,,,,,,yes
underestimate,active,underestimate,,,,,yes,,yes,yes,,,,,,,yes,
underline,active,underline,yes,,yes,,,,,,,,,,,,,yes
underscore,active,underscore,yes,,yes,,,,,,,,,,,,,yes
understand,active,understand,,,,,yes,,yes,yes,,,,,,,yes,
unnerve,passive,be unnerved,,,,,yes,yes,,,,,,,,,yes,
unsettle,passive,be unsettled,,,,,yes,yes,,,,,,,,,yes,
update,active,update,yes,,yes,,,,,,,,,,,,,yes
update,passive,be updated,,,,,yes,,,,,,yes,,,,,yes
uphold,active,uphold,yes,,yes,,,,,,,,,,,,,yes
upset,passive,be upset,,,,,yes,yes,,,,,,,,,yes,
utter,active,utter,yes,yes,,,,,,,,,,,,,,yes
verify,active,verify,yes,,yes,,,,,,,,,,,,,yes
vex,passive,be vexed,,,,,yes,yes,,,,,,,,,yes,
videotape,active,videotape,,,,,yes,,,,,,yes,,,,,yes
visualize,active,visualize,yes,yes,,,yes,,yes,,,yes,,,,yes,,yes
voice,active,voice,yes,yes,,,,,,,,,,,,,,yes
volunteer,active,volunteer,yes,,yes,,,,,,,,,,,,,yes
vote,active,vote,yes,,yes,,,,,,,,,,,,,yes
vow,active,vow,yes,,,yes,,,,,,,,,,,,yes
wager,active,wager,yes,,yes,,,,,,,,,,,,,yes
warn,active,warn,yes,,,yes,,,,,,,,,,,,yes
warn,passive,be warned,,,,,yes,,,,,,yes,,,,,yes
warrant,active,warrant,yes,,,yes,,,,,,,,,,,,yes
weep,active,weep,yes,yes,,,,,,,,,,,,,,yes
whimper,active,whimper,yes,yes,,,,,,,,,,,,,,yes
whine,active,whine,yes,yes,,,,,,,,,,,,,,yes
whisper,active,whisper,yes,yes,,,,,,,,,,,,,,yes
will,active,will,yes,yes,,,,,,,,,,,,,,yes
wish,active,wish,,,,,yes,,yes,yes,,,,,,,yes,
witness,active,witness,,,,,yes,,,,,,yes,,,,,yes
worry,active,worry,,,,,yes,yes,yes,yes,,,,,,,yes,
worry,passive,be worried,,,,,yes,yes,yes,yes,,,,,,,yes,
wow,passive,be wowed,,,,,yes,yes,,,,,,,,,yes,
write,active,write,yes,yes,,,,,,,,,,,,,,yes
yell,active,yell,yes,yes,,,,,,,,,,,,,,yes
