verb,voice,verb renamed,communicative,private,emotive,cognitive,stative cognitive,eventive cognitive with conclusion,eventive cognitive without conclusion,evidential ,negative,"state 
changing","discourse 
participation","unclear
classification","unclear
usage"
attest,active,attest,yes,,,,,,,,,,,,
authorize,active,authorize,yes,,,,,,,,,,,,
babble,active,babble,yes,,,,,,,,,,,,
baffle,passive,be baffled,,yes,yes,,,,,,,,,,
bark,active,bark,yes,,,,,,,,,,,,
beam,active,beam,yes,,,,,,,,,,,,
befuddle,passive,be befuddled,,yes,yes,,,,,,,,,,
believe,active,believe,,yes,,yes,yes,,,,,,,,
bellow,active,bellow,yes,,,,,,,,,,,,
bet,active,bet,yes,,,,,,,,,,,,
bet,passive,be bet,,,,,,,,,,,,yes,
bicker,active,bicker,yes,,,,,,,,,,,,
bitch,active,bitch,yes,,,,,,,,,,,,
blame,passive,be blamed,,,,,,,,,,,,yes,
bless,passive,be blessed,,,,,,,,,,,,yes,
blog,active,blog,yes,,,,,,,,,,,,
boast,active,boast,yes,,,,,,,,,,,,
boggle,passive,be boggled,,yes,yes,,,,,,,,,,
bother,passive,be bothered,,yes,yes,,,,,,,,,,
brag,active,brag,yes,,,,,,,,,,,,
broadcast,active,broadcast,yes,,,,,,,,,,,,
bug,passive,be bugged,,yes,yes,,,,,,,,,,
cackle,active,cackle,yes,,,,,,,,,,,,
calculate,active,calculate,,yes,,yes,,yes,,,,,,,
care,active,care,,yes,yes,,,,,,,,,,
categorize,active,categorize,,,,,,,,,,,,yes,yes
celebrate,active,celebrate,,yes,yes,,,,,,,,,,
certify,active,certify,yes,,,,,,,,,,,,
challenge,active,challenge,yes,,,,,,,,,,yes,,
challenge,passive,be challenged,,,,,,,,,,,,yes,
chant,active,chant,yes,,,,,,,,,,,,
charge,active,charge,yes,,,,,,,,,,,,
charm,passive,be charmed,,yes,yes,,,,,,,,,,
chastise,passive,be chastised,,,,,,,,,,,,yes,
chatter,active,chatter,yes,,,,,,,,,,,,
check,active,check,,yes,,yes,,yes,,,,,,,
cheer,active,cheer,yes,,,,,,,,,,,,
cheer,passive,be cheered,,yes,yes,,,,,,,,,,
chronicle,active,chronicle,yes,,,,,,,,,,,,
circulate,active,circulate,yes,,,,,,,,,,,,
claim,active,claim,yes,,,,,,,,,,,,
clarify,active,clarify,yes,,,,,,,,,,yes,,
come_out,active,come out,yes,,,,,,,,,,,,
comfort,passive,be comforted,,yes,yes,,,,,,,,,,
comment,active,comment,yes,,,,,,,,,,yes,,
communicate,active,communicate,yes,,,,,,,,,,,,
complain,active,complain,yes,,,,,,,,,,,,
comprehend,active,comprehend,,yes,,yes,yes,,,,,,,,
compute,active,compute,,yes,,yes,,yes,,,,,,,
conceal,active,conceal,,,,,,,,,,,,yes,
concede,active,concede,yes,,,,,,,,,,yes,,
conceive,active,conceive,,yes,,yes,yes,,,,,,,,
concern,passive,be concerned,,yes,yes,,,,,,,,,,
conclude,active,conclude,,yes,,yes,,yes,,,,,,,
confess,active,confess,yes,,,,,,,,,,,,
confide,active,confide,yes,,,,,,,,,,,,
confirm,active,confirm,yes,,,,,,,,,,yes,,
congratulate,passive,be congratulated,,,,,,,,,,,,yes,
conjecture,active,conjecture,,yes,,yes,yes,,,,,,,,
consent,active,consent,yes,,,,,,,,,,,,
console,passive,be consoled,,yes,yes,,,,,,,,,,
consult,passive,be consulted,,,,,,,,,,,,yes,yes
contact,passive,be contacted,,,,,,,,,,,,yes,yes
contemplate,active,contemplate,,yes,,yes,,,yes,,,,,,
contend,active,contend,yes,,,,,,,,,,yes,,
content,passive,be content,,yes,yes,,,,,,,,,,
contest,active,contest,yes,,,,,,,,,,yes,,
convey,active,convey,yes,,,,,,,,,,,,
convince,passive,be convinced,,yes,,,,,,yes,,,,,
corroborate,active,corroborate,yes,,,,,,,,,,yes,,
cringe,active,cringe,,yes,yes,,,,,,,,,,
crush,passive,be crushed,,yes,yes,,,,,,,,,,
cry,active,cry,yes,,,,,,,,,,,,
curse,active,curse,yes,,,,,,,,,,,,
daydream,active,daydream,,yes,,yes,,,yes,,,,,,
daze,passive,be dazed,,yes,yes,,,,,,,,,,
debate,active,debate,yes,,,,,,,,,,yes,,
deceive,passive,be deceived,,yes,,,,,,?,,,,,
decide,active,decide,,yes,,yes,,yes,,,,,,,
declare,active,declare,yes,,,,,,,,,,,,
decree,active,decree,yes,,,,,,,,,,,,
deduce,active,deduce,,yes,,yes,,yes,,,,,,,
delight,passive,be delighted,,yes,yes,,,,,,,,,,
delude,passive,be deluded,,,,,,,,,,,,yes,
demand,active,demand,yes,,,,,,,,,,,,
demonstrate,active,demonstrate,yes,,,,,,,,,yes,,,
demoralize,passive,be demoralized,,yes,yes,,,,,,,,,,
denounce,active,denounce,yes,,,,,,,,,,,,
deny,active,deny,yes,,,,,,,,,,yes,,
depict,active,depict,yes,,,,,,,,,,,,
deplore,passive,be deplored,,,,,,,,,,,,yes,yes
depress,passive,be depressed,,yes,yes,,,,,,,,,,
derive,active,derive,,yes,,yes,,yes,,,,,,,
describe,active,describe,yes,,,,,,,,,,,,
desire,active,desire,,yes,,yes,yes,,,,,,,,
despair,active,despair,,yes,yes,,,,,,,,,,
despise,active,despise,,yes,yes,,,,,,,,,,
detail,active,detail,yes,,,,,,,,,,,,
detect,active,detect,,yes,,yes,,yes,,,,,,,
determine,active,determine,,yes,,yes,,yes,,,,,,,
detest,active,detest,,yes,yes,,,,,,,,,,
devastate,passive,be devastated,,yes,yes,,,,,,,,,,
diagnose,active,diagnose,,yes,,yes,,yes,,,,,,,
dictate,active,dictate,yes,,,,,,,,,,,,
disagree,active,disagree,yes,yes,,yes,yes,,,,,,,,
disappoint,passive,be disappointed,,yes,yes,,,,,,,,,,
disapprove,active,disapprove,,yes,yes,,,,,,,,,,
disbelieve,active,disbelieve,,yes,,yes,yes,,,,,,,,
disclose,active,disclose,yes,,,,,,,,,,,,
discover,active,discover,,yes,,yes,,yes,,,,,,,
discuss,active,discuss,yes,,,,,,,,,,yes,,
disgrace,passive,be disgraced,,yes,yes,,,,,,,,,,
disgruntle,passive,be disgruntled,,yes,yes,,,,,,,,,,
disgust,passive,be disgusted,,yes,yes,,,,,,,,,,
dishearten,passive,be disheartened,,yes,yes,,,,,,,,,,
disillusion,passive,be disillusioned,,yes,yes,,,,,,,,,,
dislike,active,dislike,,yes,yes,,,,,,,,,,
dismay,passive,be dismayed,,yes,yes,,,,,,,,,,
dismiss,active,dismiss,yes,,,,,,,,,,yes,,
dispel,active,dispel,yes,,,,,,,,,,yes,,
display,active,display,yes,,,,,,,,,,,,
dispute,active,dispute,yes,,,,,,,,,,yes,,
disregard,active,disregard,,,,,,,,,,,,yes,
dissatisfy,passive,be dissatisfied,,yes,yes,,,,,,,,,,
distress,passive,be distressed,,yes,yes,,,,,,,,,,
disturb,passive,be disturbed,,yes,yes,,,,,,,,,,
divulge,active,divulge,yes,,,,,,,,,,,,
document,active,document,yes,,,,,,,,,,,,
doubt,active,doubt,,yes,,yes,yes,,,,,,,,
dread,active,dread,,yes,yes,,,,,,,,,,
dream,active,dream,,yes,,yes,,,yes,,,,,,
dupe,passive,be duped,,yes,,,,,,yes,,,,,
educate,passive,be educated,,yes,,,,,,yes,,,,,
elaborate,active,elaborate,yes,,,,,,,,,,,,
elate,passive,be elated,,yes,yes,,,,,,,,,,
elect,active,elect,,yes,,yes,,?,,,,,,,
email,active,email,yes,,,,,,,,,,,,
email,passive,be emailed,,yes,,,,,,yes,,,,,
embarrass,passive,be embarrassed,,yes,yes,,,,,,,,,,
embellish,active,embellish,yes,,,,,,,,,,,,
embitter,passive,be embittered,,yes,yes,,,,,,,,,,
emphasize,active,emphasize,yes,,,,,,,,,,,,
encourage,passive,be encouraged,,yes,?,,,,,,,,,,
endorse,active,endorse,yes,,,,,,,,,,yes,,
enjoy,active,enjoy,,yes,yes,,,,,,,,,,
enrage,passive,be enraged,,yes,yes,,,,,,,,,,
ensure,active,ensure,,,,,,,,,,,,yes,
enthrall,passive,be enthralled,,yes,yes,,,,,,,,,,
enthuse,passive,be enthused,,yes,yes,,,,,,,,,,
envision,active,envision,,yes,,yes,yes,,,,,,,,
envy,active,envy,,yes,yes,,,,,,,,,,
establish,active,establish,yes,,,,,,,,,,yes,,
estimate,active,estimate,,yes,,yes,,yes,,,,,,,
evaluate,active,evaluate,,yes,,yes,,yes,,,,,,,
exasperate,passive,be exasperated,,yes,yes,,,,,,,,,,
excite,passive,be excited,,yes,yes,,,,,,,,,,
exclaim,active,exclaim,yes,,,,,,,,,,,,
exhibit,active,exhibit,yes,,,,,,,,,,,,
exhilarate,passive,be exhilarated,,yes,yes,,,,,,,,,,
expect,active,expect,,yes,,yes,yes,,,,,,,,
explain,active,explain,yes,,,,,,,,,,,,
expose,active,expose,,yes,,yes,,yes,,,,,,,
express,active,express,yes,,,,,,,,,,,,
fabricate,active,fabricate,yes,,,,,,,,yes,,,,
fake,active,fake,yes,,,,,,,,yes,yes,,,
fantasize,active,fantasize,,yes,,yes,,,yes,,,,,,
fascinate,passive,be fascinated,,yes,yes,,,,,,,,,,
fax,active,fax,yes,,,,,,,,,,,,
fax,passive,be faxed,,yes,,,,,,yes,,,,,
fear,active,fear,,yes,yes,yes,yes,,,,,,,,
feel,active,feel,,yes,,yes,yes,,,,,,,,
feign,active,feign,yes,,,,,,,,yes,,,,
fess_up,active,fess up,yes,,,,,,,,,,,,
figure,active,figure,,yes,,yes,yes,,,,,,,,
figure_out,active,figure out,,yes,,yes,,yes,,,,,,,
find,active,find,,yes,,yes,yes,,,,,,,,
